timestamp,senderNodeId,receiverNodeId,packetSize,interArrivalTime,packetType,isSenderAttacker,label
8.7,0,0,512,0.1,ATTACK,1,ATTACK
8.70042,0,1,512,0.1,ATTACK,1,ATTACK
8.70042,0,2,512,0.1,ATTACK,1,ATTACK
8.8,0,0,512,0.1,ATTACK,1,ATTACK
8.80042,0,1,512,0.1,ATTACK,1,ATTACK
8.80042,0,2,512,0.1,ATTACK,1,ATTACK
8.9,0,0,512,0.1,ATTACK,1,ATTACK
8.90042,0,1,512,0.1,ATTACK,1,ATTACK
8.90042,0,2,512,0.1,ATTACK,1,ATTACK
9,0,0,512,0.1,ATTACK,1,ATTACK
9.00042,0,1,512,0.1,ATTACK,1,ATTACK
9.00042,0,2,512,0.1,ATTACK,1,ATTACK
9.1,0,0,512,0.1,ATTACK,1,ATTACK
9.10042,0,1,512,0.1,ATTACK,1,ATTACK
9.10042,0,2,512,0.1,ATTACK,1,ATTACK
9.2,0,0,512,0.1,ATTACK,1,ATTACK
9.20042,0,1,512,0.1,ATTACK,1,ATTACK
9.20042,0,2,512,0.1,ATTACK,1,ATTACK
9.3,0,0,512,0.1,ATTACK,1,ATTACK
9.30042,0,1,512,0.1,ATTACK,1,ATTACK
9.30042,0,2,512,0.1,ATTACK,1,ATTACK
9.4,0,0,512,0.1,ATTACK,1,ATTACK
9.40042,0,1,512,0.1,ATTACK,1,ATTACK
9.40042,0,2,512,0.1,ATTACK,1,ATTACK
9.5,0,0,512,0.1,ATTACK,1,ATTACK
9.50042,0,1,512,0.1,ATTACK,1,ATTACK
9.50042,0,2,512,0.1,ATTACK,1,ATTACK
9.6,0,0,512,0.1,ATTACK,1,ATTACK
9.60042,0,1,512,0.1,ATTACK,1,ATTACK
9.60042,0,2,512,0.1,ATTACK,1,ATTACK
9.7,0,0,512,0.1,ATTACK,1,ATTACK
9.70042,0,1,512,0.1,ATTACK,1,ATTACK
9.70042,0,2,512,0.1,ATTACK,1,ATTACK
9.8,0,0,512,0.1,ATTACK,1,ATTACK
9.80042,0,1,512,0.1,ATTACK,1,ATTACK
9.80042,0,2,512,0.1,ATTACK,1,ATTACK
9.9,0,0,512,0.1,ATTACK,1,ATTACK
9.90042,0,1,512,0.1,ATTACK,1,ATTACK
9.90042,0,2,512,0.1,ATTACK,1,ATTACK
10,0,0,512,0.1,ATTACK,1,ATTACK
10.0004,0,1,512,0.1,ATTACK,1,ATTACK
10.0004,0,2,512,0.1,ATTACK,1,ATTACK
10.1,0,0,512,0.1,ATTACK,1,ATTACK
10.1004,0,1,512,0.1,ATTACK,1,ATTACK
10.1004,0,2,512,0.1,ATTACK,1,ATTACK
10.2,0,0,512,0.1,ATTACK,1,ATTACK
10.2004,0,1,512,0.1,ATTACK,1,ATTACK
10.2004,0,2,512,0.1,ATTACK,1,ATTACK
10.3,0,0,512,0.1,ATTACK,1,ATTACK
10.3004,0,1,512,0.1,ATTACK,1,ATTACK
10.3004,0,2,512,0.1,ATTACK,1,ATTACK
10.4,0,0,512,0.1,ATTACK,1,ATTACK
10.4004,0,1,512,0.1,ATTACK,1,ATTACK
10.4004,0,2,512,0.1,ATTACK,1,ATTACK
10.5,0,0,512,0.1,ATTACK,1,ATTACK
10.5004,0,1,512,0.1,ATTACK,1,ATTACK
10.5004,0,2,512,0.1,ATTACK,1,ATTACK
10.6,0,0,512,0.1,ATTACK,1,ATTACK
10.6004,0,1,512,0.1,ATTACK,1,ATTACK
10.6004,0,2,512,0.1,ATTACK,1,ATTACK
10.7,0,0,512,0.1,ATTACK,1,ATTACK
10.7004,0,1,512,0.1,ATTACK,1,ATTACK
10.7004,0,2,512,0.1,ATTACK,1,ATTACK
10.8,0,0,512,0.1,ATTACK,1,ATTACK
10.8004,0,1,512,0.1,ATTACK,1,ATTACK
10.8004,0,2,512,0.1,ATTACK,1,ATTACK
10.9,0,0,512,0.1,ATTACK,1,ATTACK
10.9004,0,1,512,0.1,ATTACK,1,ATTACK
10.9004,0,2,512,0.1,ATTACK,1,ATTACK
11,0,0,512,0.1,ATTACK,1,ATTACK
11.0004,0,1,512,0.1,ATTACK,1,ATTACK
11.0004,0,2,512,0.1,ATTACK,1,ATTACK
11.1,0,0,512,0.1,ATTACK,1,ATTACK
11.1004,0,1,512,0.1,ATTACK,1,ATTACK
11.1004,0,2,512,0.1,ATTACK,1,ATTACK
11.2,0,0,512,0.1,ATTACK,1,ATTACK
11.2004,0,1,512,0.1,ATTACK,1,ATTACK
11.2004,0,2,512,0.1,ATTACK,1,ATTACK
11.3,0,0,512,0.1,ATTACK,1,ATTACK
11.3004,0,1,512,0.1,ATTACK,1,ATTACK
11.3004,0,2,512,0.1,ATTACK,1,ATTACK
11.4,0,0,512,0.1,ATTACK,1,ATTACK
11.4004,0,1,512,0.1,ATTACK,1,ATTACK
11.4004,0,2,512,0.1,ATTACK,1,ATTACK
11.5,0,0,512,0.1,ATTACK,1,ATTACK
11.5004,0,1,512,0.1,ATTACK,1,ATTACK
11.5004,0,2,512,0.1,ATTACK,1,ATTACK
11.6,0,0,512,0.1,ATTACK,1,ATTACK
11.6004,0,1,512,0.1,ATTACK,1,ATTACK
11.6004,0,2,512,0.1,ATTACK,1,ATTACK
11.7,0,0,512,0.1,ATTACK,1,ATTACK
11.7004,0,1,512,0.1,ATTACK,1,ATTACK
11.7004,0,2,512,0.1,ATTACK,1,ATTACK
11.8,0,0,512,0.1,ATTACK,1,ATTACK
11.8004,0,1,512,0.1,ATTACK,1,ATTACK
11.8004,0,2,512,0.1,ATTACK,1,ATTACK
11.9,0,0,512,0.1,ATTACK,1,ATTACK
11.9004,0,1,512,0.1,ATTACK,1,ATTACK
11.9004,0,2,512,0.1,ATTACK,1,ATTACK
12,0,0,512,0.1,ATTACK,1,ATTACK
12.0004,0,1,512,0.1,ATTACK,1,ATTACK
12.0004,0,2,512,0.1,ATTACK,1,ATTACK
12.1,0,0,512,0.1,ATTACK,1,ATTACK
12.1004,0,1,512,0.1,ATTACK,1,ATTACK
12.1004,0,2,512,0.1,ATTACK,1,ATTACK
12.2,0,0,512,0.1,ATTACK,1,ATTACK
12.2004,0,1,512,0.1,ATTACK,1,ATTACK
12.2004,0,2,512,0.1,ATTACK,1,ATTACK
12.3,0,0,512,0.1,ATTACK,1,ATTACK
12.3004,0,1,512,0.1,ATTACK,1,ATTACK
12.3004,0,2,512,0.1,ATTACK,1,ATTACK
12.4,0,0,512,0.1,ATTACK,1,ATTACK
12.4004,0,1,512,0.1,ATTACK,1,ATTACK
12.4004,0,2,512,0.1,ATTACK,1,ATTACK
12.5,0,0,512,0.1,ATTACK,1,ATTACK
12.5004,0,1,512,0.1,ATTACK,1,ATTACK
12.5004,0,2,512,0.1,ATTACK,1,ATTACK
12.6,0,0,512,0.1,ATTACK,1,ATTACK
12.6004,0,1,512,0.1,ATTACK,1,ATTACK
12.6004,0,2,512,0.1,ATTACK,1,ATTACK
12.7,0,0,512,0.1,ATTACK,1,ATTACK
12.7004,0,1,512,0.1,ATTACK,1,ATTACK
12.7004,0,2,512,0.1,ATTACK,1,ATTACK
12.8,0,0,512,0.1,ATTACK,1,ATTACK
12.8004,0,1,512,0.1,ATTACK,1,ATTACK
12.8004,0,2,512,0.1,ATTACK,1,ATTACK
12.9,0,0,512,0.1,ATTACK,1,ATTACK
12.9004,0,1,512,0.1,ATTACK,1,ATTACK
12.9004,0,2,512,0.1,ATTACK,1,ATTACK
13,0,0,512,0.1,ATTACK,1,ATTACK
13.0004,0,1,512,0.1,ATTACK,1,ATTACK
13.0004,0,2,512,0.1,ATTACK,1,ATTACK
13.1,0,0,512,0.1,ATTACK,1,ATTACK
13.1004,0,1,512,0.1,ATTACK,1,ATTACK
13.1004,0,2,512,0.1,ATTACK,1,ATTACK
13.2,0,0,512,0.1,ATTACK,1,ATTACK
13.2004,0,1,512,0.1,ATTACK,1,ATTACK
13.2004,0,2,512,0.1,ATTACK,1,ATTACK
13.3,0,0,512,0.1,ATTACK,1,ATTACK
13.3004,0,1,512,0.1,ATTACK,1,ATTACK
13.3004,0,2,512,0.1,ATTACK,1,ATTACK
13.4,0,0,512,0.1,ATTACK,1,ATTACK
13.4004,0,1,512,0.1,ATTACK,1,ATTACK
13.4004,0,2,512,0.1,ATTACK,1,ATTACK
13.5,0,0,512,0.1,ATTACK,1,ATTACK
13.5004,0,1,512,0.1,ATTACK,1,ATTACK
13.5004,0,2,512,0.1,ATTACK,1,ATTACK
13.6,0,0,512,0.1,ATTACK,1,ATTACK
13.6004,0,1,512,0.1,ATTACK,1,ATTACK
13.6004,0,2,512,0.1,ATTACK,1,ATTACK
13.7,0,0,512,0.1,ATTACK,1,ATTACK
13.7004,0,1,512,0.1,ATTACK,1,ATTACK
13.7004,0,2,512,0.1,ATTACK,1,ATTACK
13.8,0,0,512,0.1,ATTACK,1,ATTACK
13.8004,0,1,512,0.1,ATTACK,1,ATTACK
13.8004,0,2,512,0.1,ATTACK,1,ATTACK
13.9,0,0,512,0.1,ATTACK,1,ATTACK
13.9004,0,1,512,0.1,ATTACK,1,ATTACK
13.9004,0,2,512,0.1,ATTACK,1,ATTACK
14,0,0,512,0.1,ATTACK,1,ATTACK
14.0004,0,1,512,0.1,ATTACK,1,ATTACK
14.0004,0,2,512,0.1,ATTACK,1,ATTACK
14.1,0,0,512,0.1,ATTACK,1,ATTACK
14.1004,0,1,512,0.1,ATTACK,1,ATTACK
14.1004,0,2,512,0.1,ATTACK,1,ATTACK
