timestamp,event_type,node_id,node_type,communication_type,packet_size,inter_arrival_time,battery_level,energy_consumption,source_address,target_address,is_attacker,is_charging,sequence_number,packet_name,pos_x,pos_y,speed,tx_duration_est,cumulative_packets_sent,cumulative_packets_received,soc
1.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,0,1.000000
2.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,0,1.000000
3.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,0,1.000000
4.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,0,1.000000
5.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,0,1.000000
6.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,0,1.000000
6.374542,RECEIVED,0,cs,BSM,247,6.374542,50000.000000,0.000000,10.0.0.157,cs[0],0,0,0,BSM-0,200.000000,200.000000,0,0.000329,0,1,1.000000
7.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,1,1.000000
7.249970,RECEIVED,0,cs,BSM,303,0.875429,50000.000000,0.000000,10.0.0.157,cs[0],0,0,1,BSM-1,200.000000,200.000000,0,0.000404,0,2,1.000000
7.966678,RECEIVED,0,cs,BSM,270,0.716707,50000.000000,0.000000,10.0.0.157,cs[0],0,0,2,BSM-2,200.000000,200.000000,0,0.000360,0,3,1.000000
8.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,3,1.000000
8.937596,RECEIVED,0,cs,BSM,239,0.970918,50000.000000,0.000000,10.0.0.157,cs[0],0,0,3,BSM-3,200.000000,200.000000,0,0.000319,0,4,1.000000
9.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,4,1.000000
9.592043,RECEIVED,0,cs,BSM,277,0.654448,50000.000000,0.000000,10.0.0.157,cs[0],0,0,4,BSM-4,200.000000,200.000000,0,0.000369,0,5,1.000000
9.861787,RECEIVED,0,cs,BSM,397,0.269743,50000.000000,0.000000,10.0.0.157,cs[0],0,0,5,BSM-5,200.000000,200.000000,0,0.000529,0,6,1.000000
10.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,6,1.000000
10.757789,RECEIVED,0,cs,BSM,377,0.896002,50000.000000,0.000000,10.0.0.157,cs[0],0,0,6,BSM-6,200.000000,200.000000,0,0.000503,0,7,1.000000
11.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,7,1.000000
11.374123,RECEIVED,0,cs,BSM,232,0.616334,50000.000000,0.000000,10.0.0.157,cs[0],0,0,7,BSM-7,200.000000,200.000000,0,0.000309,0,8,1.000000
11.499746,RECEIVED,0,cs,BSM,351,0.125624,50000.000000,0.000000,10.0.0.218,cs[0],0,0,0,BSM-0,200.000000,200.000000,0,0.000468,0,9,1.000000
11.848776,RECEIVED,0,cs,BSM,234,0.349030,50000.000000,0.000000,10.0.0.218,cs[0],0,0,1,BSM-1,200.000000,200.000000,0,0.000312,0,10,1.000000
12.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,10,1.000000
12.004017,RECEIVED,0,cs,BSM,217,0.155241,50000.000000,0.000000,10.0.0.157,cs[0],0,0,8,BSM-8,200.000000,200.000000,0,0.000289,0,11,1.000000
12.308117,RECEIVED,0,cs,BSM,320,0.304100,50000.000000,0.000000,10.0.0.218,cs[0],0,0,2,BSM-2,200.000000,200.000000,0,0.000427,0,12,1.000000
12.926124,RECEIVED,0,cs,BSM,302,0.618007,50000.000000,0.000000,10.0.0.157,cs[0],0,0,9,BSM-9,200.000000,200.000000,0,0.000403,0,13,1.000000
13.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,13,1.000000
13.066214,RECEIVED,0,cs,BSM,299,0.140090,50000.000000,0.000000,10.0.0.218,cs[0],0,0,3,BSM-3,200.000000,200.000000,0,0.000399,0,14,1.000000
13.294398,RECEIVED,0,cs,BSM,206,0.228184,50000.000000,0.000000,10.0.0.157,cs[0],0,0,10,BSM-10,200.000000,200.000000,0,0.000275,0,15,1.000000
13.722371,RECEIVED,0,cs,BSM,300,0.427973,50000.000000,0.000000,10.0.0.218,cs[0],0,0,4,BSM-4,200.000000,200.000000,0,0.000400,0,16,1.000000
14.000000,CS_IDLE,0,cs,CS_IDLE,0,0.000000,50000.000000,0.000000,cs[0],grid,0,0,0,BatteryTick,200.000000,200.000000,0,0.000000,0,16,1.000000
14.016690,RECEIVED,0,cs,BSM,386,0.294319,50000.000000,0.000000,10.0.0.157,cs[0],0,0,11,BSM-11,200.000000,200.000000,0,0.000515,0,17,1.000000
